"TIME","GEO","DURATION","ISCED11","AGE","SEX","UNIT","Value"
"2000","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","94.8"
"2001","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.3"
"2002","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","93.2"
"2003","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","93.3"
"2004","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.0"
"2005","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.5"
"2006","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.2"
"2007","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","93.0"
"2008","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","93.0"
"2009","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","93.4"
"2010","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.0"
"2011","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.2"
"2012","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.3"
"2013","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.1"
"2014","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.0"
"2015","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.2"
"2016","Belgium","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.4"
"2000","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2001","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","84.3"
"2002","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.8"
"2003","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.1"
"2004","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.6"
"2005","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.2"
"2006","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.8"
"2007","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.0"
"2008","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.3"
"2009","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.0"
"2010","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","87.6"
"2011","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","83.9"
"2012","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.9"
"2013","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","80.0"
"2014","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.7"
"2015","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.0"
"2016","Bulgaria","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","88.2"
"2000","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2001","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2002","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","84.3"
"2003","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","85.6"
"2004","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2005","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2006","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","81.1"
"2007","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","78.9"
"2008","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","78.1"
"2009","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","77.1"
"2010","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","75.8"
"2011","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","71.7"
"2012","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","74.3"
"2013","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","75.9"
"2014","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","77.0"
"2015","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","74.2"
"2016","Czech Republic","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","76.2"
"2000","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","98.7"
"2001","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","94.9"
"2002","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","95.3"
"2003","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.6"
"2004","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","97.9"
"2005","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","93.8"
"2006","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","96.7"
"2007","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","94.5"
"2008","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","95.9"
"2009","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","94.2"
"2010","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","93.6"
"2011","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.9"
"2012","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.1"
"2013","Denmark","Over 3 years","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","94.2"
