"TIME","GEO","DURATION","ISCED11","AGE","SEX","UNIT","Value"
"2000","Belgium","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","91.8"
"2000","Belgium","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","90.2"
"2000","Belgium","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage","93.0"
"2000","Bulgaria","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2000","Bulgaria","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage",":"
"2000","Bulgaria","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage",":"
"2000","Czech Republic","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2000","Czech Republic","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage",":"
"2000","Czech Republic","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage",":"
"2000","Denmark","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.9"
"2000","Denmark","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","91.2"
"2000","Denmark","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage","90.7"
"2000","Germany (until 1990 former territory of the FRG)","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","92.2"
"2000","Germany (until 1990 former territory of the FRG)","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","95.7"
"2000","Germany (until 1990 former territory of the FRG)","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage","87.5"
"2000","Estonia","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.0"
"2000","Estonia","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","82.8"
"2000","Estonia","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage","88.5"
"2000","Ireland","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2000","Ireland","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage",":"
"2000","Ireland","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage",":"
"2000","Greece","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","71.0"
"2000","Greece","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","76.7"
"2000","Greece","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage","66.9"
"2000","Spain","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","79.6"
"2000","Spain","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","84.9"
"2000","Spain","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage","75.3"
"2000","France","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2000","France","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage",":"
"2000","France","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage",":"
"2000","Croatia","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2000","Croatia","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage",":"
"2000","Croatia","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage",":"
"2000","Italy","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","69.2"
"2000","Italy","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","74.0"
"2000","Italy","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage","65.1"
"2000","Cyprus","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","90.2"
"2000","Cyprus","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","94.0"
"2000","Cyprus","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage","87.6"
"2000","Latvia","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage",":"
"2000","Latvia","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage",":"
"2000","Latvia","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage",":"
"2000","Lithuania","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","80.8"
"2000","Lithuania","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","76.6"
"2000","Lithuania","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage","84.4"
"2000","Luxembourg","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","89.7"
"2000","Luxembourg","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","96.3"
"2000","Luxembourg","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Females","Percentage","83.3"
"2000","Hungary","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Total","Percentage","86.5"
"2000","Hungary","5 years or less","Tertiary education (levels 5-8)","From 20 to 34 years","Males","Percentage","94.1"
